Division,BNP-A,11PA,DUF,GSA,IAB,IND,NDF,Others,Monthly_Income,Expenditure,Division_Total_Votes,Voter_Weight,Weighted_BNP-A,Weighted_11PA
Dhaka,55.173569310705716,35.55969744022126,0.048172264851008166,0.08170177299541603,1.4042748140620118,7.34986446188649,0.21141333018597472,0.17130660509213075,42696,37935,15386447,0.21958498131455456,12.115287186148596,7.808375497962198
Chattogram,61.89328620420551,33.42738742748112,0.02207793050500536,0.8850480499648098,0.7202390683778039,2.9343627082704558,0.07979707928762511,0.037801531907674046,34054,34843,12637054,0.1803475010482288,11.162299498591278,6.028545789117202
Rajshahi,57.72373051848485,39.45474805593887,0.001317028787108679,0.0,0.0005875974588638722,1.7360870851853207,0.040777237447018715,1.0427524766979617,30398,25358,9870703,0.140868007657422,8.131426912692888,5.557911751265652
Khulna,44.044035670247816,50.71269503176155,0.017618250602948915,0.0,0.33684623357947663,3.7371144898423427,0.19057579429848304,0.9611145296673809,28192,26135,9240418,0.13187300576076294,5.808219369669839,6.687635524067304
Barishal,56.0258158448783,29.510012198036694,0.554529794728277,0.0,10.420394241307827,3.06126918619765,0.42797873485124777,0.0,25892,23940,4200676,0.059949211209611795,3.3587034672754243,1.7691019540583222
Mymensingh,54.373183276018175,32.12139075590818,0.20882708753974166,0.03884088255201419,1.5388214812253458,11.403201429160978,0.277028007296428,0.03870708029912832,24183,24554,5231601,0.07466187663924004,4.059603902236859,2.398243314098442
Sylhet,58.75245936793132,30.841486757705688,0.22100959832876624,2.56258479940155,0.39829161013373227,6.785928512066343,0.39841513438944925,0.03982422004314455,22861,30402,4047788,0.057767296916908635,3.393970764905899,1.7816293228912903
Rangpur,44.02935820022498,46.26535008380488,0.22234811667179397,0.04204785312185745,1.9633893911447602,3.4892421054256855,3.5873713884029783,0.4008928612030614,21674,21667,9455893,0.13494811945327126,5.94167908985483,6.2434219896567145
